3x3,   403.txt, astar, disjointPDBMax,     9, 1.20,     9,  6457
3x3,   404.txt, astar, disjointPDBMax,     9, 1.22,     9,  6426
3x3,   405.txt, astar, disjointPDBMax,     9, 1.22,     9,  6371
3x3,   406.txt, astar, disjointPDBMax,     9, 1.22,     9,  6774
3x3,   407.txt, astar, disjointPDBMax,     9, 1.20,     9,  6510
3x3,   408.txt, astar, disjointPDBMax,     9, 1.22,     9,  6431
3x3,   409.txt, astar, disjointPDBMax,     9, 1.22,     9,  6340
3x3,   410.txt, astar, disjointPDBMax,     9, 1.22,     9,  6563
3x3,   411.txt, astar, disjointPDBMax,     9, 1.22,     9,  6423
3x3,   412.txt, astar, disjointPDBMax,     9, 1.22,     9,  6363
3x3,   413.txt, astar, disjointPDBMax,     9, 1.22,     9,  6436
3x3,   414.txt, astar, disjointPDBMax,     9, 1.22,     9,  6532
3x3,   415.txt, astar, disjointPDBMax,     9, 1.22,     9,  6551
3x3,   416.txt, astar, disjointPDBMax,     9, 1.22,     9,  6384
3x3,   417.txt, astar, disjointPDBMax,     9, 1.22,     9,  6508
3x3,   418.txt, astar, disjointPDBMax,     9, 1.22,     9,  6366
3x3,   419.txt, astar, disjointPDBMax,     9, 1.22,     9,  6432
3x3,   420.txt, astar, disjointPDBMax,    17, 1.33,     9,  6388
3x3,   682.txt, astar, disjointPDBMax,    10, 1.18,    10,  6410
3x3,   683.txt, astar, disjointPDBMax,    10, 1.19,    10,  6453
3x3,   684.txt, astar, disjointPDBMax,    10, 1.19,    10,  6376
3x3,   685.txt, astar, disjointPDBMax,    10, 1.19,    10,  6411
3x3,   686.txt, astar, disjointPDBMax,    10, 1.19,    10,  6489
3x3,   687.txt, astar, disjointPDBMax,    10, 1.18,    10,  6396
3x3,   688.txt, astar, disjointPDBMax,    10, 1.18,    10,  6321
3x3,   689.txt, astar, disjointPDBMax,    10, 1.19,    10,  6426
3x3,   690.txt, astar, disjointPDBMax,    10, 1.16,    10,  6413
3x3,   691.txt, astar, disjointPDBMax,    10, 1.19,    10,  6586
3x3,   692.txt, astar, disjointPDBMax,    10, 1.19,    10,  6599
3x3,   693.txt, astar, disjointPDBMax,    10, 1.19,    10,  6418
3x3,   694.txt, astar, disjointPDBMax,    10, 1.19,    10,  6315
3x3,   695.txt, astar, disjointPDBMax,    10, 1.19,    10,  6533
3x3,   696.txt, astar, disjointPDBMax,    10, 1.20,    10,  6441
3x3,   697.txt, astar, disjointPDBMax,    10, 1.19,    10,  6422
3x3,   698.txt, astar, disjointPDBMax,    10, 1.19,    10,  6443
3x3,   699.txt, astar, disjointPDBMax,    10, 1.20,    10,  6386
3x3,   700.txt, astar, disjointPDBMax,    10, 1.20,    10,  6464
3x3,   701.txt, astar, disjointPDBMax,    10, 1.19,    10,  6578
3x3,   702.txt, astar, disjointPDBMax,    10, 1.19,    10,  6381
3x3,   703.txt, astar, disjointPDBMax,    15, 1.26,    10,  6427
3x3,   704.txt, astar, disjointPDBMax,    10, 1.19,    10,  6399
3x3,   705.txt, astar, disjointPDBMax,    11, 1.21,    10,  6466
3x3,   706.txt, astar, disjointPDBMax,    10, 1.18,    10,  6451
3x3,   975.txt, astar, disjointPDBMax,    11, 1.17,    11,  6364
3x3,   976.txt, astar, disjointPDBMax,    12, 1.19,    11,  6427
3x3,   977.txt, astar, disjointPDBMax,    11, 1.16,    11,  6414
3x3,   978.txt, astar, disjointPDBMax,    11, 1.18,    11,  6527
3x3,   979.txt, astar, disjointPDBMax,    11, 1.18,    11,  6398
3x3,   980.txt, astar, disjointPDBMax,    11, 1.16,    11,  6390
3x3,   981.txt, astar, disjointPDBMax,    11, 1.17,    11,  6413
3x3,   982.txt, astar, disjointPDBMax,    11, 1.18,    11,  6358
3x3,   983.txt, astar, disjointPDBMax,    11, 1.18,    11,  6413
3x3,   984.txt, astar, disjointPDBMax,    11, 1.17,    11,  6472
3x3,   985.txt, astar, disjointPDBMax,    11, 1.16,    11,  6477
3x3,   986.txt, astar, disjointPDBMax,    11, 1.18,    11,  6375
3x3,   987.txt, astar, disjointPDBMax,    11, 1.18,    11,  6506
3x3,   988.txt, astar, disjointPDBMax,    11, 1.17,    11,  6563
3x3,   989.txt, astar, disjointPDBMax,    11, 1.18,    11,  6534
3x3,   990.txt, astar, disjointPDBMax,    12, 1.19,    11,  6398
3x3,   991.txt, astar, disjointPDBMax,    11, 1.17,    11,  6652
3x3,   992.txt, astar, disjointPDBMax,    20, 1.27,    11,  6415
3x3,   993.txt, astar, disjointPDBMax,    11, 1.17,    11,  6599
3x3,   994.txt, astar, disjointPDBMax,    20, 1.27,    11,  6365
3x3,   995.txt, astar, disjointPDBMax,    11, 1.16,    11,  6443
3x3,   996.txt, astar, disjointPDBMax,    11, 1.17,    11,  6378
3x3,   997.txt, astar, disjointPDBMax,    11, 1.16,    11,  6405
3x3,   998.txt, astar, disjointPDBMax,    11, 1.17,    11,  6349
3x3,   999.txt, astar, disjointPDBMax,    19, 1.26,    11,  6680
3x3,  1826.txt, astar, disjointPDBMax,    12, 1.14,    12,  6454
3x3,  1827.txt, astar, disjointPDBMax,    12, 1.15,    12,  6525
