3x3,    26.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    26.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    26.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    27.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    27.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    27.txt, astar, NMaxSwap,     5, 0.00,     4,    22
3x3,    28.txt, astar, manhattan,     4, 0.00,     4,    13
3x3,    28.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    28.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    29.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    29.txt, astar, linearConflict,     4, 0.00,     4,    41
3x3,    29.txt, astar, NMaxSwap,     4, 0.00,     4,    21
3x3,    30.txt, astar, manhattan,     4, 0.00,     4,    11
3x3,    30.txt, astar, linearConflict,     4, 0.00,     4,    40
3x3,    30.txt, astar, NMaxSwap,     4, 0.00,     4,    20
3x3,    31.txt, astar, manhattan,     4, 0.00,     4,    12
3x3,    31.txt, astar, linearConflict,     4, 0.00,     4,    41
3x3,    31.txt, astar, NMaxSwap,     5, 0.00,     4,    21
3x3,    32.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    32.txt, astar, linearConflict,     5, 0.00,     5,    40
3x3,    32.txt, astar, NMaxSwap,     5, 0.00,     5,    22
3x3,    33.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    33.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    33.txt, astar, NMaxSwap,    11, 0.00,     5,    25
3x3,    34.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    34.txt, astar, linearConflict,     5, 0.00,     5,    40
3x3,    34.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    35.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    35.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    35.txt, astar, NMaxSwap,     5, 0.00,     5,    22
3x3,    36.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    36.txt, astar, linearConflict,     5, 0.00,     5,    40
3x3,    36.txt, astar, NMaxSwap,     5, 0.00,     5,    22
3x3,    37.txt, astar, manhattan,     6, 0.00,     5,    13
3x3,    37.txt, astar, linearConflict,     6, 0.00,     5,    41
3x3,    37.txt, astar, NMaxSwap,     7, 0.00,     5,    21
3x3,    38.txt, astar, manhattan,     5, 0.00,     5,    12
3x3,    38.txt, astar, linearConflict,     5, 0.00,     5,    40
3x3,    38.txt, astar, NMaxSwap,     5, 0.00,     5,    21
3x3,    39.txt, astar, manhattan,     5, 0.00,     5,    13
3x3,    39.txt, astar, linearConflict,     5, 0.00,     5,    41
3x3,    39.txt, astar, NMaxSwap,     5, 0.00,     5,    21
