3x3,   398.txt, astar, disjointPDBVertical,    10, 1.24,     9,  4768
3x3,   399.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4714
3x3,   400.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4743
3x3,   401.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4705
3x3,   402.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4777
3x3,   403.txt, astar, disjointPDBVertical,     9, 1.20,     9,  4786
3x3,   404.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4780
3x3,   405.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4740
3x3,   406.txt, astar, disjointPDBVertical,    11, 1.25,     9,  4728
3x3,   407.txt, astar, disjointPDBVertical,     9, 1.20,     9,  4700
3x3,   408.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4718
3x3,   409.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4668
3x3,   410.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4730
3x3,   411.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4722
3x3,   412.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4721
3x3,   413.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4712
3x3,   414.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4758
3x3,   415.txt, astar, disjointPDBVertical,    11, 1.25,     9,  4757
3x3,   416.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4745
3x3,   417.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4744
3x3,   418.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4703
3x3,   419.txt, astar, disjointPDBVertical,     9, 1.22,     9,  4691
3x3,   420.txt, astar, disjointPDBVertical,    18, 1.34,     9,  4829
3x3,   682.txt, astar, disjointPDBVertical,    10, 1.18,    10,  4780
3x3,   683.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4794
3x3,   684.txt, astar, disjointPDBVertical,    14, 1.25,    10,  4738
3x3,   685.txt, astar, disjointPDBVertical,    11, 1.20,    10,  4777
3x3,   686.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4771
3x3,   687.txt, astar, disjointPDBVertical,    10, 1.18,    10,  4720
3x3,   688.txt, astar, disjointPDBVertical,    10, 1.18,    10,  4795
3x3,   689.txt, astar, disjointPDBVertical,    12, 1.22,    10,  4695
3x3,   690.txt, astar, disjointPDBVertical,    10, 1.16,    10,  4637
3x3,   691.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4742
3x3,   692.txt, astar, disjointPDBVertical,    12, 1.22,    10,  4695
3x3,   693.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4728
3x3,   694.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4767
3x3,   695.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4688
3x3,   696.txt, astar, disjointPDBVertical,    41, 1.43,    10,  4711
3x3,   697.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4719
3x3,   698.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4725
3x3,   699.txt, astar, disjointPDBVertical,    10, 1.20,    10,  4765
3x3,   700.txt, astar, disjointPDBVertical,    10, 1.20,    10,  4741
3x3,   701.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4740
3x3,   702.txt, astar, disjointPDBVertical,    10, 1.19,    10,  4738
3x3,   703.txt, astar, disjointPDBVertical,    15, 1.26,    10,  4778
