size,heur,expanded,branching,cost,time
3x3,NMaxSwap,2249330,2.12,20,47715
4x4,NMaxSwap,1478160,2.09,20,38289
3x3,NMaxSwap,1804959,2.42,17,34338
4x4,NMaxSwap,1353131,2.16,19,33183
4x4,NMaxSwap,1217264,2.37,17,33162
3x3,NMaxSwap,1591538,2.17,19,32637
4x4,NMaxSwap,1375953,2.09,20,32061
4x4,NMaxSwap,921979,2.04,20,31971
4x4,NMaxSwap,1051069,2.05,20,31453
3x3,NMaxSwap,1320741,2.25,18,30498
3x3,NMaxSwap,1442626,2.16,19,29516
4x4,NMaxSwap,741117,2.02,20,28704
3x3,NMaxSwap,1273977,2.06,20,27524
3x3,NMaxSwap,1083435,2.13,19,26156
3x3,disjointPDBMax,66,1.2,19,18895
3x3,disjointPDBMax,21,1.11,19,18068
3x3,disjointPDBMax,83,1.26,17,17426
3x3,disjointPDBMax,17,1.11,17,17320
3x3,disjointPDBMax,26,1.13,18,17124
3x3,disjointPDBMax,26,1.13,18,16904
3x3,disjointPDBMax,18,1.1,18,16873
3x3,disjointPDBMax,20,1.11,18,16865
3x3,disjointPDBMax,19,1.1,19,16789
3x3,disjointPDBMax,44,1.18,18,16588
3x3,disjointPDBMax,29,1.15,18,16585
3x3,disjointPDBMax,19,1.11,18,16412
3x3,disjointPDBMax,19,1.1,19,16248
3x3,nonAdditiveMax,19,1.1,19,14847
3x3,nonAdditiveMax,19,1.1,19,14198
3x3,disjointPDBVertical,220,1.3,19,14164
3x3,nonAdditiveFringe,19,1.11,18,14141
3x3,nonAdditiveMax,17,1.11,17,13946
3x3,nonAdditiveFringe,20,1.1,19,13903
3x3,nonAdditiveMax,17,1.11,17,13902
3x3,nonAdditiveFringe,17,1.11,17,13744
3x3,nonAdditiveMax,18,1.1,18,13637
3x3,nonAdditiveMax,18,1.1,18,13613
3x3,nonAdditiveFringe,41,1.16,19,13580
3x3,nonAdditiveFringe,18,1.1,18,13530
3x3,nonAdditiveFringe,18,1.1,18,13466
3x3,nonAdditiveFringe,17,1.11,17,13402
3x3,disjointPDBVertical,94,1.23,19,13396
3x3,nonAdditiveFringe,18,1.1,18,13369
3x3,nonAdditiveFringe,20,1.1,19,13365
3x3,disjointPDBVertical,47,1.19,18,13362
3x3,nonAdditiveMax,33,1.16,18,13324
3x3,disjointPDBVertical,79,1.22,19,13289
3x3,nonAdditiveFringe,2379,1.54,18,13273
3x3,nonAdditiveMax,18,1.11,18,13226
3x3,nonAdditiveMax,18,1.1,18,13223
3x3,nonAdditiveMax,18,1.11,18,13201
3x3,disjointPDBMax,26,1.12,19,13193
3x3,nonAdditiveMax,18,1.1,18,13134
3x3,nonAdditiveMax,18,1.1,18,13048
3x3,disjointPDBVertical,29,1.14,18,13018
3x3,nonAdditiveFringe,40,1.17,18,12961
3x3,disjointPDBVertical,1434,1.49,18,12953
3x3,disjointPDBVertical,29,1.15,18,12941
3x3,disjointPDBHorizontal,20,1.12,17,12907
3x3,disjointPDBMax,31,1.17,17,12886
3x3,disjointPDBVertical,19,1.12,17,12862
3x3,nonAdditiveFringe,42,1.18,18,12832
3x3,disjointPDBVertical,174,1.3,18,12819
3x3,disjointPDBVertical,90,1.26,17,12808
3x3,disjointPDBVertical,27,1.14,18,12761
3x3,disjointPDBHorizontal,25,1.13,18,12750
3x3,disjointPDBHorizontal,52,1.2,18,12747
3x3,disjointPDBVertical,316,1.36,18,12685
3x3,disjointPDBHorizontal,42,1.18,18,12669
3x3,disjointPDBVertical,19,1.11,18,12640
3x3,nonAdditiveMax,19,1.1,19,12614
3x3,disjointPDBHorizontal,22,1.12,18,12578
3x3,nonAdditiveFringe,307,1.35,18,12551
3x3,disjointPDBVertical,181,1.29,19,12522
3x3,disjointPDBHorizontal,19,1.1,19,12483
3x3,disjointPDBHorizontal,26,1.13,18,12458
3x3,nonAdditiveFringe,35,1.16,18,12434
3x3,disjointPDBMax,27,1.14,18,12378
3x3,nonAdditiveMax,19,1.1,19,12322
3x3,nonAdditiveMax,42,1.18,18,12321
3x3,disjointPDBHorizontal,54,1.2,18,12249
3x3,nonAdditiveMax,43,1.2,17,12248
3x3,disjointPDBHorizontal,29,1.15,18,12242
3x3,nonAdditiveFringe,33,1.16,18,12227
3x3,disjointPDBHorizontal,18,1.12,17,12171
3x3,disjointPDBHorizontal,18,1.1,18,12086
3x3,disjointPDBVertical,49,1.18,19,12085
3x3,disjointPDBMax,20,1.11,18,11929
3x3,nonAdditiveMax,75,1.25,17,11816
3x3,disjointPDBHorizontal,156,1.27,19,11797
3x3,disjointPDBHorizontal,1235,1.52,17,11794
3x3,disjointPDBHorizontal,87,1.23,19,11688
3x3,disjointPDBMax,17,1.11,17,11569
3x3,nonAdditiveFringe,19,1.1,19,11567
3x3,disjointPDBVertical,27,1.14,18,11490
3x3,nonAdditiveFringe,50,1.21,17,11390
3x3,disjointPDBVertical,318,1.36,18,11355
3x3,disjointPDBMax,48,1.19,18,11044
3x3,nonAdditiveMax,17,1.11,17,11019
3x3,disjointPDBHorizontal,20,1.11,18,10969
3x3,nonAdditiveFringe,257,1.36,17,10130
3x3,disjointPDBHorizontal,23,1.12,18,9997
3x3,nonAdditiveMax,44,1.17,19,9696
3x3,disjointPDBHorizontal,36,1.17,18,9463
3x3,disjointPDBMax,17,1.11,17,9456
3x3,disjointPDBVertical,41,1.2,17,9095
3x3,disjointPDBMax,29,1.15,17,8979
3x3,disjointPDBHorizontal,50,1.21,17,8757
3x3,disjointPDBMax,20,1.11,18,8739
3x3,disjointPDBMax,18,1.1,18,8720
3x3,nonAdditiveMax,35,1.17,18,8658
4x4,NMaxSwap,709330,2.42,16,8623
3x3,disjointPDBVertical,19,1.12,17,8606
3x3,disjointPDBHorizontal,49,1.19,18,8577
3x3,disjointPDBHorizontal,21,1.1,19,8573
3x3,disjointPDBHorizontal,22,1.13,17,8538
3x3,disjointPDBMax,18,1.11,18,8445
3x3,disjointPDBVertical,35,1.15,19,8421
3x3,disjointPDBHorizontal,24,1.12,19,8387
3x3,NMaxSwap,901916,2.1,19,8333
3x3,NMaxSwap,893815,2.1,19,8212
3x3,disjointPDBVertical,93,1.27,17,8105
3x3,disjointPDBMax,17,1.11,17,8006
3x3,disjointPDBMax,23,1.14,17,7954
3x3,nonAdditiveMax,17,1.11,17,7883
3x3,disjointPDBMax,66,1.2,19,7830
3x3,disjointPDBHorizontal,31,1.17,17,7751
3x3,disjointPDBHorizontal,98,1.27,17,7628
3x3,disjointPDBMax,19,1.1,19,7540
3x3,disjointPDBMax,163,1.28,19,7468
3x3,disjointPDBVertical,1190,1.48,18,7403
3x3,disjointPDBMax,19,1.12,17,7377
3x3,nonAdditiveFringe,19,1.11,18,7320
