3x3,   989.txt, ida, linearConflict,    16, 1.06,    11,    16
3x3,   990.txt, ida, linearConflict,    43, 1.22,    11,    25
3x3,   991.txt, ida, linearConflict,   138, 1.40,    11,    41
3x3,   992.txt, ida, linearConflict,    13, 1.03,    11,    15
3x3,   993.txt, ida, linearConflict,    29, 1.16,    11,    20
3x3,   994.txt, ida, linearConflict,    15, 1.05,    11,    15
3x3,   995.txt, ida, linearConflict,    15, 1.05,    11,    15
3x3,   996.txt, ida, linearConflict,    56, 1.26,    11,    29
3x3,   997.txt, ida, linearConflict,    18, 1.08,    11,    16
3x3,   998.txt, ida, linearConflict,    20, 1.10,    11,    17
3x3,   999.txt, ida, linearConflict,    31, 1.17,    11,    21
3x3,  1826.txt, ida, linearConflict,   415, 1.51,    12,    66
3x3,  1827.txt, ida, linearConflict,    15, 1.03,    12,    15
3x3,  1828.txt, ida, linearConflict,    13, 1.01,    12,    14
3x3,  1829.txt, ida, linearConflict,    21, 1.08,    12,    17
3x3,  1830.txt, ida, linearConflict,    18, 1.06,    12,    15
3x3,  1831.txt, ida, linearConflict,    23, 1.10,    12,    18
3x3,  1832.txt, ida, linearConflict,    16, 1.04,    12,    17
3x3,  1833.txt, ida, linearConflict,   467, 1.53,    12,    80
3x3,  1834.txt, ida, linearConflict,   116, 1.33,    12,    38
3x3,  1835.txt, ida, linearConflict,   463, 1.53,    12,    71
3x3,  1836.txt, ida, linearConflict,    28, 1.13,    12,    20
3x3,  1837.txt, ida, linearConflict,   259, 1.44,    12,    53
3x3,  1838.txt, ida, linearConflict,    19, 1.07,    12,    16
3x3,  1839.txt, ida, linearConflict,   289, 1.46,    12,    58
3x3,  1840.txt, ida, linearConflict,    14, 1.02,    12,    14
3x3,  1841.txt, ida, linearConflict,    97, 1.30,    12,    34
3x3,  1842.txt, ida, linearConflict,    32, 1.14,    12,    22
3x3,  1843.txt, ida, linearConflict,    23, 1.10,    12,    17
3x3,  1844.txt, ida, linearConflict,   485, 1.53,    12,    77
3x3,  1845.txt, ida, linearConflict,   141, 1.35,    12,    43
3x3,  1846.txt, ida, linearConflict,    35, 1.16,    12,    22
3x3,  1847.txt, ida, linearConflict,    24, 1.10,    12,    18
3x3,  1848.txt, ida, linearConflict,    13, 1.01,    12,    13
3x3,  1849.txt, ida, linearConflict,    35, 1.16,    12,    23
3x3,  1850.txt, ida, linearConflict,   290, 1.46,    12,    57
3x3,  2850.txt, ida, linearConflict,    19, 1.05,    13,    15
3x3,  2851.txt, ida, linearConflict,    23, 1.08,    13,    17
3x3,  2852.txt, ida, linearConflict,    16, 1.03,    13,    15
3x3,  2853.txt, ida, linearConflict,    20, 1.06,    13,    15
3x3,  2854.txt, ida, linearConflict,   722, 1.53,    13,    90
3x3,  2855.txt, ida, linearConflict,    53, 1.19,    13,    28
3x3,  2856.txt, ida, linearConflict,    29, 1.11,    13,    19
3x3,  2857.txt, ida, linearConflict,   337, 1.43,    13,    63
3x3,  2858.txt, ida, linearConflict,    19, 1.05,    13,    17
3x3,  2859.txt, ida, linearConflict,    62, 1.21,    13,    29
3x3,  2860.txt, ida, linearConflict,    45, 1.17,    13,    25
3x3,  2861.txt, ida, linearConflict,   557, 1.49,    13,    86
3x3,  2862.txt, ida, linearConflict,   446, 1.46,    13,    69
3x3,  2863.txt, ida, linearConflict,    20, 1.06,    13,    17
3x3,  2864.txt, ida, linearConflict,    17, 1.04,    13,    15
3x3,  2865.txt, ida, linearConflict,    31, 1.12,    13,    20
3x3,  2866.txt, ida, linearConflict,    17, 1.04,    13,    16
3x3,  2867.txt, ida, linearConflict,    17, 1.04,    13,    16
3x3,  2868.txt, ida, linearConflict,    22, 1.07,    13,    17
3x3,  2869.txt, ida, linearConflict,    15, 1.02,    13,    15
3x3,  2870.txt, ida, linearConflict,    20, 1.06,    13,    17
3x3,  2871.txt, ida, linearConflict,    17, 1.04,    13,    17
3x3,  2872.txt, ida, linearConflict,   137, 1.31,    13,    42
3x3,  2873.txt, ida, linearConflict,    22, 1.07,    13,    18
3x3,  2874.txt, ida, linearConflict,    27, 1.10,    13,    19
3x3,  4743.txt, ida, linearConflict,   310, 1.37,    14,    61
3x3,  4744.txt, ida, linearConflict,  2108, 1.61,    14,   121
3x3,  4745.txt, ida, linearConflict,   223, 1.33,    14,    52
3x3,  4746.txt, ida, linearConflict,    41, 1.13,    14,    25
3x3,  4747.txt, ida, linearConflict,    47, 1.15,    14,    25
3x3,  4748.txt, ida, linearConflict,    54, 1.17,    14,    28
3x3,  4749.txt, ida, linearConflict,    28, 1.09,    14,    20
3x3,  4750.txt, ida, linearConflict,    20, 1.05,    14,    17
3x3,  4751.txt, ida, linearConflict,   371, 1.40,    14,    68
3x3,  4752.txt, ida, linearConflict,    25, 1.07,    14,    19
3x3,  4753.txt, ida, linearConflict,    18, 1.03,    14,    16
3x3,  4754.txt, ida, linearConflict,   103, 1.24,    14,    35
3x3,  4755.txt, ida, linearConflict,    79, 1.21,    14,    32
3x3,  4756.txt, ida, linearConflict,    30, 1.10,    14,    19
3x3,  4757.txt, ida, linearConflict,  1924, 1.60,    14,   134
3x3,  4758.txt, ida, linearConflict,    25, 1.07,    14,    18
3x3,  4759.txt, ida, linearConflict,   129, 1.27,    14,    38
3x3,  4760.txt, ida, linearConflict,   497, 1.43,    14,    77
3x3,  4761.txt, ida, linearConflict,    18, 1.03,    14,    16
3x3,  4762.txt, ida, linearConflict,  2336, 1.63,    14,   145
3x3,  4763.txt, ida, linearConflict,    72, 1.20,    14,    30
3x3,  4764.txt, ida, linearConflict,   700, 1.47,    14,    88
3x3,  4765.txt, ida, linearConflict,    34, 1.11,    14,    21
3x3,  4766.txt, ida, linearConflict,   129, 1.27,    14,    41
3x3,  4767.txt, ida, linearConflict,    21, 1.05,    14,    17
3x3,  7255.txt, ida, linearConflict,   145, 1.26,    15,    40
3x3,  7256.txt, ida, linearConflict,    35, 1.10,    15,    23
3x3,  7257.txt, ida, linearConflict,    27, 1.07,    15,    19
3x3,  7258.txt, ida, linearConflict,   624, 1.42,    15,    82
3x3,  7259.txt, ida, linearConflict,    36, 1.10,    15,    23
3x3,  7260.txt, ida, linearConflict,   399, 1.37,    15,    68
3x3,  7261.txt, ida, linearConflict,   426, 1.37,    15,    72
3x3,  7262.txt, ida, linearConflict,  2329, 1.57,    15,   141
3x3,  7263.txt, ida, linearConflict,    71, 1.18,    15,    30
3x3,  7264.txt, ida, linearConflict,    66, 1.17,    15,    29
3x3,  7265.txt, ida, linearConflict,  2073, 1.55,    15,   128
3x3,  7266.txt, ida, linearConflict,   141, 1.25,    15,    41
3x3,  7267.txt, ida, linearConflict,    19, 1.03,    15,    16
3x3,  7268.txt, ida, linearConflict,  1959, 1.55,    15,   139
3x3,  7269.txt, ida, linearConflict,  1671, 1.53,    15,   126
