3x3,   981.txt, astar, disjointPDBHorizontal,    11, 1.17,    11,  4763
3x3,   982.txt, astar, disjointPDBHorizontal,    11, 1.18,    11,  4730
3x3,   983.txt, astar, disjointPDBHorizontal,    11, 1.18,    11,  4722
3x3,   984.txt, astar, disjointPDBHorizontal,    11, 1.17,    11,  4737
3x3,   985.txt, astar, disjointPDBHorizontal,    11, 1.16,    11,  4817
3x3,   986.txt, astar, disjointPDBHorizontal,    11, 1.18,    11,  4858
3x3,   987.txt, astar, disjointPDBHorizontal,    11, 1.18,    11,  4873
3x3,   988.txt, astar, disjointPDBHorizontal,    11, 1.17,    11,  4783
3x3,   989.txt, astar, disjointPDBHorizontal,    13, 1.20,    11,  5081
3x3,   990.txt, astar, disjointPDBHorizontal,    45, 1.38,    11,  4755
3x3,   991.txt, astar, disjointPDBHorizontal,    33, 1.33,    11,  4747
3x3,   992.txt, astar, disjointPDBHorizontal,    20, 1.27,    11,  4768
3x3,   993.txt, astar, disjointPDBHorizontal,    11, 1.17,    11,  4744
3x3,   994.txt, astar, disjointPDBHorizontal,    20, 1.27,    11,  4785
3x3,   995.txt, astar, disjointPDBHorizontal,    13, 1.19,    11,  4802
3x3,   996.txt, astar, disjointPDBHorizontal,    12, 1.18,    11,  4788
3x3,   997.txt, astar, disjointPDBHorizontal,    11, 1.16,    11,  4740
3x3,   998.txt, astar, disjointPDBHorizontal,    11, 1.17,    11,  4880
3x3,   999.txt, astar, disjointPDBHorizontal,    19, 1.26,    11,  4807
3x3,  1826.txt, astar, disjointPDBHorizontal,    12, 1.14,    12,  4803
3x3,  1827.txt, astar, disjointPDBHorizontal,    12, 1.15,    12,  4761
3x3,  1828.txt, astar, disjointPDBHorizontal,    18, 1.21,    12,  4781
3x3,  1829.txt, astar, disjointPDBHorizontal,    12, 1.16,    12,  4749
3x3,  1830.txt, astar, disjointPDBHorizontal,    12, 1.15,    12,  4743
3x3,  1831.txt, astar, disjointPDBHorizontal,    14, 1.18,    12,  4762
3x3,  1832.txt, astar, disjointPDBHorizontal,    14, 1.18,    12,  4721
3x3,  1833.txt, astar, disjointPDBHorizontal,    62, 1.37,    12,  4759
3x3,  1834.txt, astar, disjointPDBHorizontal,    13, 1.16,    12,  4715
3x3,  1835.txt, astar, disjointPDBHorizontal,    36, 1.30,    12,  4805
3x3,  1836.txt, astar, disjointPDBHorizontal,    14, 1.18,    12,  4786
3x3,  1837.txt, astar, disjointPDBHorizontal,    19, 1.21,    12,  4778
3x3,  1838.txt, astar, disjointPDBHorizontal,    12, 1.16,    12,  4813
3x3,  1839.txt, astar, disjointPDBHorizontal,    15, 1.18,    12,  4765
3x3,  1840.txt, astar, disjointPDBHorizontal,    12, 1.14,    12,  4718
3x3,  1841.txt, astar, disjointPDBHorizontal,    19, 1.22,    12,  5129
3x3,  1842.txt, astar, disjointPDBHorizontal,    69, 1.39,    12,  4868
3x3,  1843.txt, astar, disjointPDBHorizontal,    12, 1.15,    12,  4747
3x3,  1844.txt, astar, disjointPDBHorizontal,    12, 1.15,    12,  4746
3x3,  1845.txt, astar, disjointPDBHorizontal,    12, 1.16,    12,  4732
3x3,  1846.txt, astar, disjointPDBHorizontal,    14, 1.18,    12,  4767
