3x3,   687.txt, astar, nonAdditiveFringe,    10, 1.18,    10,  5037
3x3,   688.txt, astar, nonAdditiveFringe,    10, 1.18,    10,  5028
3x3,   689.txt, astar, nonAdditiveFringe,    19, 1.30,    10,  5101
3x3,   690.txt, astar, nonAdditiveFringe,    10, 1.16,    10,  5148
3x3,   691.txt, astar, nonAdditiveFringe,    10, 1.19,    10,  5161
3x3,   692.txt, astar, nonAdditiveFringe,    18, 1.30,    10,  5090
3x3,   693.txt, astar, nonAdditiveFringe,    11, 1.20,    10,  5192
3x3,   694.txt, astar, nonAdditiveFringe,    12, 1.22,    10,  5044
3x3,   695.txt, astar, nonAdditiveFringe,    11, 1.20,    10,  5076
3x3,   696.txt, astar, nonAdditiveFringe,   110, 1.61,    10,  5014
3x3,   697.txt, astar, nonAdditiveFringe,    12, 1.22,    10,  5052
3x3,   698.txt, astar, nonAdditiveFringe,    11, 1.20,    10,  5007
3x3,   699.txt, astar, nonAdditiveFringe,    12, 1.23,    10,  5156
3x3,   700.txt, astar, nonAdditiveFringe,    12, 1.23,    10,  5167
3x3,   701.txt, astar, nonAdditiveFringe,    10, 1.19,    10,  5070
3x3,   702.txt, astar, nonAdditiveFringe,    12, 1.22,    10,  5108
3x3,   703.txt, astar, nonAdditiveFringe,   231, 1.76,    10,  5082
3x3,   704.txt, astar, nonAdditiveFringe,    10, 1.19,    10,  5050
3x3,   705.txt, astar, nonAdditiveFringe,    12, 1.23,    10,  5033
3x3,   706.txt, astar, nonAdditiveFringe,    10, 1.18,    10,  5123
3x3,   975.txt, astar, nonAdditiveFringe,    12, 1.18,    11,  5080
3x3,   976.txt, astar, nonAdditiveFringe,    12, 1.19,    11,  5032
3x3,   977.txt, astar, nonAdditiveFringe,    12, 1.18,    11,  5170
3x3,   978.txt, astar, nonAdditiveFringe,    68, 1.45,    11,  5101
3x3,   979.txt, astar, nonAdditiveFringe,    68, 1.45,    11,  5143
3x3,   980.txt, astar, nonAdditiveFringe,    11, 1.16,    11,  5144
3x3,   981.txt, astar, nonAdditiveFringe,    11, 1.17,    11,  5127
3x3,   982.txt, astar, nonAdditiveFringe,    62, 1.44,    11,  5126
3x3,   983.txt, astar, nonAdditiveFringe,    13, 1.20,    11,  5038
3x3,   984.txt, astar, nonAdditiveFringe,    11, 1.17,    11,  5230
3x3,   985.txt, astar, nonAdditiveFringe,    20, 1.26,    11,  5097
3x3,   986.txt, astar, nonAdditiveFringe,    13, 1.20,    11,  5077
3x3,   987.txt, astar, nonAdditiveFringe,    13, 1.20,    11,  5039
3x3,   988.txt, astar, nonAdditiveFringe,    11, 1.17,    11,  5176
3x3,   989.txt, astar, nonAdditiveFringe,    13, 1.20,    11,  4966
3x3,   990.txt, astar, nonAdditiveFringe,    13, 1.20,    11,  5100
3x3,   991.txt, astar, nonAdditiveFringe,    11, 1.17,    11,  5089
3x3,   992.txt, astar, nonAdditiveFringe,    31, 1.33,    11,  5116
3x3,   993.txt, astar, nonAdditiveFringe,    11, 1.17,    11,  5046
3x3,   994.txt, astar, nonAdditiveFringe,    68, 1.45,    11,  5058
3x3,   995.txt, astar, nonAdditiveFringe,    11, 1.16,    11,  5072
3x3,   996.txt, astar, nonAdditiveFringe,    11, 1.17,    11,  5158
3x3,   997.txt, astar, nonAdditiveFringe,    52, 1.40,    11,  5004
3x3,   998.txt, astar, nonAdditiveFringe,    11, 1.17,    11,  4967
3x3,   999.txt, astar, nonAdditiveFringe,    19, 1.26,    11,  5134
3x3,  1826.txt, astar, nonAdditiveFringe,    12, 1.14,    12,  5133
3x3,  1827.txt, astar, nonAdditiveFringe,    13, 1.16,    12,  5076
3x3,  1828.txt, astar, nonAdditiveFringe,    19, 1.22,    12,  5067
3x3,  1829.txt, astar, nonAdditiveFringe,    12, 1.16,    12,  5335
3x3,  1830.txt, astar, nonAdditiveFringe,    12, 1.15,    12,  5147
3x3,  1831.txt, astar, nonAdditiveFringe,    13, 1.17,    12,  5108
3x3,  1832.txt, astar, nonAdditiveFringe,    13, 1.17,    12,  5127
3x3,  1833.txt, astar, nonAdditiveFringe,    13, 1.16,    12,  5030
3x3,  1834.txt, astar, nonAdditiveFringe,    13, 1.16,    12,  5068
3x3,  1835.txt, astar, nonAdditiveFringe,    12, 1.15,    12,  5175
3x3,  1836.txt, astar, nonAdditiveFringe,    14, 1.18,    12,  5029
3x3,  1837.txt, astar, nonAdditiveFringe,    12, 1.14,    12,  5115
3x3,  1838.txt, astar, nonAdditiveFringe,   126, 1.49,    12,  5059
3x3,  1839.txt, astar, nonAdditiveFringe,    12, 1.15,    12,  5023
3x3,  1840.txt, astar, nonAdditiveFringe,    12, 1.14,    12,  5065
3x3,  1841.txt, astar, nonAdditiveFringe,    12, 1.15,    12,  4997
3x3,  1842.txt, astar, nonAdditiveFringe,    25, 1.27,    12,  5124
3x3,  1843.txt, astar, nonAdditiveFringe,    12, 1.15,    12,  5001
3x3,  1844.txt, astar, nonAdditiveFringe,    12, 1.15,    12,  5106
3x3,  1845.txt, astar, nonAdditiveFringe,    91, 1.44,    12,  5145
3x3,  1846.txt, astar, nonAdditiveFringe,    13, 1.17,    12,  5029
3x3,  1847.txt, astar, nonAdditiveFringe,    58, 1.37,    12,  5077
3x3,  1848.txt, astar, nonAdditiveFringe,    12, 1.13,    12,  5080
3x3,  1849.txt, astar, nonAdditiveFringe,    23, 1.25,    12,  5061
3x3,  1850.txt, astar, nonAdditiveFringe,    23, 1.25,    12,  5124
3x3,  2850.txt, astar, nonAdditiveFringe,    13, 1.14,    13,  5035
3x3,  2851.txt, astar, nonAdditiveFringe,   115, 1.42,    13,  5159
3x3,  2852.txt, astar, nonAdditiveFringe,  1201, 1.75,    13,  5242
3x3,  2853.txt, astar, nonAdditiveFringe,    13, 1.14,    13,  5053
3x3,  2854.txt, astar, nonAdditiveFringe,    14, 1.15,    13,  5078
3x3,  2855.txt, astar, nonAdditiveFringe,    47, 1.31,    13,  5049
3x3,  2856.txt, astar, nonAdditiveFringe,    13, 1.14,    13,  5079
3x3,  2857.txt, astar, nonAdditiveFringe,    14, 1.15,    13,  5033
3x3,  2858.txt, astar, nonAdditiveFringe,    13, 1.15,    13,  5153
3x3,  2859.txt, astar, nonAdditiveFringe,    13, 1.15,    13,  5150
3x3,  2860.txt, astar, nonAdditiveFringe,    13, 1.14,    13,  5165
3x3,  2861.txt, astar, nonAdditiveFringe,    13, 1.14,    13,  5043
3x3,  2862.txt, astar, nonAdditiveFringe,    13, 1.13,    13,  5073
