3x3,   693.txt, astar, NMaxSwap,   975, 2.08,    10,   124
3x3,   694.txt, astar, NMaxSwap,    50, 1.48,    10,    38
3x3,   695.txt, astar, NMaxSwap,    38, 1.41,    10,    34
3x3,   696.txt, astar, NMaxSwap,   590, 1.97,    10,   104
3x3,   697.txt, astar, NMaxSwap,   199, 1.75,    10,    65
3x3,   698.txt, astar, NMaxSwap,   162, 1.70,    10,    60
3x3,   699.txt, astar, NMaxSwap,    80, 1.56,    10,    45
3x3,   700.txt, astar, NMaxSwap,   115, 1.62,    10,    51
3x3,   701.txt, astar, NMaxSwap,    23, 1.34,    10,    29
3x3,   702.txt, astar, NMaxSwap,    23, 1.33,    10,    29
3x3,   703.txt, astar, NMaxSwap,   185, 1.72,    10,    63
3x3,   704.txt, astar, NMaxSwap,    33, 1.39,    10,    33
3x3,   705.txt, astar, NMaxSwap,   239, 1.76,    10,    70
3x3,   706.txt, astar, NMaxSwap,   421, 1.89,    10,    88
3x3,   975.txt, astar, NMaxSwap,   715, 1.88,    11,   111
3x3,   976.txt, astar, NMaxSwap,   107, 1.54,    11,    51
3x3,   977.txt, astar, NMaxSwap,   171, 1.59,    11,    59
3x3,   978.txt, astar, NMaxSwap,   553, 1.82,    11,   104
3x3,   979.txt, astar, NMaxSwap,   106, 1.52,    11,    50
3x3,   980.txt, astar, NMaxSwap,   754, 1.87,    11,   110
3x3,   981.txt, astar, NMaxSwap,  1205, 1.96,    11,   126
3x3,   982.txt, astar, NMaxSwap,   663, 1.86,    11,   109
3x3,   983.txt, astar, NMaxSwap,   305, 1.71,    11,    79
3x3,   984.txt, astar, NMaxSwap,  6833, 2.32,    11,   248
3x3,   985.txt, astar, NMaxSwap,  3460, 2.20,    11,   207
3x3,   986.txt, astar, NMaxSwap,    79, 1.49,    11,    45
3x3,   987.txt, astar, NMaxSwap,   306, 1.71,    11,    76
3x3,   988.txt, astar, NMaxSwap,    79, 1.49,    11,    45
3x3,   989.txt, astar, NMaxSwap,   133, 1.56,    11,    57
3x3,   990.txt, astar, NMaxSwap,    96, 1.51,    11,    46
3x3,   991.txt, astar, NMaxSwap, 11830, 2.47,    11,   353
3x3,   992.txt, astar, NMaxSwap,    46, 1.39,    11,    37
3x3,   993.txt, astar, NMaxSwap,  2858, 1.88,    13,   185
3x3,   994.txt, astar, NMaxSwap,    43, 1.39,    11,    36
3x3,   995.txt, astar, NMaxSwap,   400, 1.75,    11,    89
3x3,   996.txt, astar, NMaxSwap,   408, 1.76,    11,    89
3x3,   997.txt, astar, NMaxSwap,  5684, 2.30,    11,   254
3x3,   998.txt, astar, NMaxSwap,  1347, 1.99,    11,   136
3x3,   999.txt, astar, NMaxSwap,    72, 1.47,    11,    43
3x3,  1826.txt, astar, NMaxSwap, 15072, 2.31,    12,   360
3x3,  1827.txt, astar, NMaxSwap,   259, 1.59,    12,    74
3x3,  1828.txt, astar, NMaxSwap,    62, 1.39,    12,    42
