boardID,algo,heur,size,expanded,branching,time,cost
2862.txt,astar,disjointPDBHorizontal,3x3,76,0.36,4740,13
2863.txt,astar,disjointPDBHorizontal,3x3,13,0.14,4792,13
2864.txt,astar,disjointPDBHorizontal,3x3,13,0.14,4770,13
2865.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4746,13
2866.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4702,13
2867.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4799,13
2868.txt,astar,disjointPDBHorizontal,3x3,14,0.15,4720,13
2869.txt,astar,disjointPDBHorizontal,3x3,13,0.13,4803,13
2870.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4846,13
2871.txt,astar,disjointPDBHorizontal,3x3,15,0.16,4727,13
2872.txt,astar,disjointPDBHorizontal,3x3,24,0.22,4736,13
2873.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4736,13
2874.txt,astar,disjointPDBHorizontal,3x3,13,0.15,4813,13
4743.txt,astar,disjointPDBHorizontal,3x3,23,0.19,4843,14
4744.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4947,14
4745.txt,astar,disjointPDBHorizontal,3x3,16,0.15,4809,14
4746.txt,astar,disjointPDBHorizontal,3x3,26,0.21,4720,14
4747.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4733,14
4748.txt,astar,disjointPDBHorizontal,3x3,25,0.2,4724,14
4749.txt,astar,disjointPDBHorizontal,3x3,16,0.15,4749,14
4750.txt,astar,disjointPDBHorizontal,3x3,15,0.13,4731,14
4751.txt,astar,disjointPDBHorizontal,3x3,15,0.14,4957,14
4752.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4738,14
4753.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4807,14
4754.txt,astar,disjointPDBHorizontal,3x3,15,0.14,4719,14
4755.txt,astar,disjointPDBHorizontal,3x3,16,0.15,4759,14
4756.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4732,14
4757.txt,astar,disjointPDBHorizontal,3x3,115,0.37,4720,14
4758.txt,astar,disjointPDBHorizontal,3x3,15,0.14,4842,14
4759.txt,astar,disjointPDBHorizontal,3x3,21,0.18,4815,14
4760.txt,astar,disjointPDBHorizontal,3x3,23,0.19,4903,14
4761.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4742,14
4762.txt,astar,disjointPDBHorizontal,3x3,104,0.36,4802,14
4763.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4895,14
4764.txt,astar,disjointPDBHorizontal,3x3,17,0.15,4759,14
4765.txt,astar,disjointPDBHorizontal,3x3,15,0.14,4729,14
4766.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4845,14
4767.txt,astar,disjointPDBHorizontal,3x3,14,0.13,4716,14
7255.txt,astar,disjointPDBHorizontal,3x3,15,0.12,4712,15
7256.txt,astar,disjointPDBHorizontal,3x3,33,0.21,4748,15
7257.txt,astar,disjointPDBHorizontal,3x3,17,0.14,4818,15
7258.txt,astar,disjointPDBHorizontal,3x3,20,0.16,4728,15
7259.txt,astar,disjointPDBHorizontal,3x3,19,0.15,4841,15
7260.txt,astar,disjointPDBHorizontal,3x3,34,0.21,4756,15
7261.txt,astar,disjointPDBHorizontal,3x3,18,0.14,4691,15
7262.txt,astar,disjointPDBHorizontal,3x3,17,0.13,4653,15
7263.txt,astar,disjointPDBHorizontal,3x3,15,0.13,4704,15
7264.txt,astar,disjointPDBHorizontal,3x3,29,0.2,4724,15
7265.txt,astar,disjointPDBHorizontal,3x3,71,0.29,4745,15
7266.txt,astar,disjointPDBHorizontal,3x3,25,0.18,4760,15
7267.txt,astar,disjointPDBHorizontal,3x3,15,0.13,4810,15
7268.txt,astar,disjointPDBHorizontal,3x3,36,0.23,4820,15
7269.txt,astar,disjointPDBHorizontal,3x3,29,0.2,4803,15
7270.txt,astar,disjointPDBHorizontal,3x3,16,0.13,4683,15
7271.txt,astar,disjointPDBHorizontal,3x3,28,0.2,4764,15
7272.txt,astar,disjointPDBHorizontal,3x3,33,0.22,4735,15
7273.txt,astar,disjointPDBHorizontal,3x3,16,0.13,4797,15
7274.txt,astar,disjointPDBHorizontal,3x3,15,0.12,4779,15
