boardID,algo,heur,size,expanded,branching,time,cost
975.txt,astar,linearConflict,3x3,48,0.4,58,11
976.txt,astar,linearConflict,3x3,65,0.44,61,11
977.txt,astar,linearConflict,3x3,11,0.16,44,11
978.txt,astar,linearConflict,3x3,59,0.43,62,11
979.txt,astar,linearConflict,3x3,21,0.27,49,11
980.txt,astar,linearConflict,3x3,197,0.62,85,11
981.txt,astar,linearConflict,3x3,93,0.49,68,11
982.txt,astar,linearConflict,3x3,184,0.62,84,11
983.txt,astar,linearConflict,3x3,26,0.29,50,11
984.txt,astar,linearConflict,3x3,72,0.45,63,11
985.txt,astar,linearConflict,3x3,20,0.25,47,11
986.txt,astar,linearConflict,3x3,16,0.22,45,11
987.txt,astar,linearConflict,3x3,30,0.31,53,11
988.txt,astar,linearConflict,3x3,14,0.2,45,11
989.txt,astar,linearConflict,3x3,17,0.24,47,11
990.txt,astar,linearConflict,3x3,82,0.48,65,11
991.txt,astar,linearConflict,3x3,95,0.51,68,11
992.txt,astar,linearConflict,3x3,24,0.29,50,11
993.txt,astar,linearConflict,3x3,53,0.41,59,11
994.txt,astar,linearConflict,3x3,24,0.29,51,11
995.txt,astar,linearConflict,3x3,14,0.19,47,11
996.txt,astar,linearConflict,3x3,66,0.45,64,11
997.txt,astar,linearConflict,3x3,20,0.25,48,11
998.txt,astar,linearConflict,3x3,41,0.36,56,11
999.txt,astar,linearConflict,3x3,46,0.38,57,11
1826.txt,astar,linearConflict,3x3,335,0.62,97,12
1827.txt,astar,linearConflict,3x3,14,0.17,45,12
1828.txt,astar,linearConflict,3x3,20,0.22,48,12
1829.txt,astar,linearConflict,3x3,21,0.23,48,12
1830.txt,astar,linearConflict,3x3,17,0.2,46,12
1831.txt,astar,linearConflict,3x3,29,0.27,55,12
1832.txt,astar,linearConflict,3x3,17,0.2,46,12
1833.txt,astar,linearConflict,3x3,438,0.68,111,12
1834.txt,astar,linearConflict,3x3,168,0.53,81,12
1835.txt,astar,linearConflict,3x3,733,0.75,134,12
1836.txt,astar,linearConflict,3x3,30,0.27,52,12
1837.txt,astar,linearConflict,3x3,169,0.52,78,12
1838.txt,astar,linearConflict,3x3,18,0.21,47,12
1839.txt,astar,linearConflict,3x3,398,0.66,109,12
1840.txt,astar,linearConflict,3x3,13,0.15,44,12
1841.txt,astar,linearConflict,3x3,85,0.42,65,12
1842.txt,astar,linearConflict,3x3,91,0.43,68,12
1843.txt,astar,linearConflict,3x3,44,0.33,56,12
1844.txt,astar,linearConflict,3x3,342,0.64,105,12
1845.txt,astar,linearConflict,3x3,106,0.47,72,12
1846.txt,astar,linearConflict,3x3,38,0.31,54,12
1847.txt,astar,linearConflict,3x3,27,0.26,50,12
1848.txt,astar,linearConflict,3x3,12,0.13,43,12
1849.txt,astar,linearConflict,3x3,52,0.36,60,12
1850.txt,astar,linearConflict,3x3,473,0.68,113,12
2850.txt,astar,linearConflict,3x3,22,0.2,48,13
2851.txt,astar,linearConflict,3x3,46,0.3,57,13
2852.txt,astar,linearConflict,3x3,19,0.19,47,13
2853.txt,astar,linearConflict,3x3,22,0.2,48,13
2854.txt,astar,linearConflict,3x3,699,0.67,133,13
2855.txt,astar,linearConflict,3x3,96,0.4,67,13
2856.txt,astar,linearConflict,3x3,57,0.32,59,13
2857.txt,astar,linearConflict,3x3,468,0.61,115,13
2858.txt,astar,linearConflict,3x3,29,0.24,52,13
2859.txt,astar,linearConflict,3x3,91,0.39,66,13
2860.txt,astar,linearConflict,3x3,64,0.34,61,13
2861.txt,astar,linearConflict,3x3,302,0.55,100,13
2862.txt,astar,linearConflict,3x3,719,0.67,128,13
2863.txt,astar,linearConflict,3x3,35,0.26,53,13
2864.txt,astar,linearConflict,3x3,22,0.2,48,13
2865.txt,astar,linearConflict,3x3,28,0.23,51,13
2866.txt,astar,linearConflict,3x3,23,0.21,49,13
2867.txt,astar,linearConflict,3x3,22,0.2,50,13
2868.txt,astar,linearConflict,3x3,32,0.25,53,13
2869.txt,astar,linearConflict,3x3,14,0.14,45,13
2870.txt,astar,linearConflict,3x3,19,0.19,48,13
2871.txt,astar,linearConflict,3x3,18,0.19,47,13
2872.txt,astar,linearConflict,3x3,175,0.47,81,13
2873.txt,astar,linearConflict,3x3,22,0.2,48,13
2874.txt,astar,linearConflict,3x3,51,0.31,60,13
4743.txt,astar,linearConflict,3x3,149,0.41,77,14
4744.txt,astar,linearConflict,3x3,1704,0.72,185,14
4745.txt,astar,linearConflict,3x3,312,0.5,99,14
4746.txt,astar,linearConflict,3x3,61,0.3,60,14
4747.txt,astar,linearConflict,3x3,58,0.29,60,14
4748.txt,astar,linearConflict,3x3,58,0.29,61,14
4749.txt,astar,linearConflict,3x3,29,0.22,53,14
4750.txt,astar,linearConflict,3x3,23,0.18,49,14
4751.txt,astar,linearConflict,3x3,767,0.61,136,14
4752.txt,astar,linearConflict,3x3,39,0.25,56,14
4753.txt,astar,linearConflict,3x3,23,0.18,49,14
